iter	Passed	Remaining
0	0	35
1	0	29
2	0	30
3	1	28
4	1	30
5	1	30
6	2	29
7	2	29
8	2	29
9	3	28
10	3	28
11	3	27
12	4	27
13	4	26
14	4	26
15	4	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	8	23
28	9	22
29	9	22
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	15	18
45	15	18
46	16	18
47	16	18
48	17	17
49	17	17
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	25	12
66	25	12
67	26	12
68	26	11
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	34	5
86	34	5
87	35	4
88	35	4
89	35	3
90	36	3
91	36	3
92	37	2
93	37	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
